accession_number,technology,assembly
"MN687264.1","Illumina","BWA v. 0.7.15"
"MN687263.1","Illumina","BWA v. 0.7.15"
"MN687262.1","Illumina","BWA v. 0.7.15"
"MN687261.1","Illumina","BWA v. 0.7.15"
"MN687260.1","Ion Torrent","BWA v. 0.7.15"
"MN687259.1","Illumina","BWA v. 0.7.15"
"MN687258.1","Ion Torrent","BWA v. 0.7.15"
"MN687257.1","Illumina","BWA v. 0.7.15"
"MN687256.1","Illumina","BWA v. 0.7.15"
"MN687255.1","Illumina","BWA v. 0.7.15"
"MN687254.1","Illumina","BWA v. 0.7.15"
"MN687253.1","Illumina","BWA v. 0.7.15"
"MN687252.1","Illumina","BWA v. 0.7.15"
"MN687251.1","Illumina","BWA v. 0.7.15"
"MN687250.1","Illumina","BWA v. 0.7.15"
"MN687249.1","Ion Torrent","BWA v. 0.7.15"
"MN687248.1","Ion Torrent","BWA v. 0.7.15"
"MN687247.1","Illumina","BWA v. 0.7.15"
"MN687246.1","Ion Torrent","BWA v. 0.7.15"
"MN687245.1","Illumina","BWA v. 0.7.15"
"MN687244.1","Illumina","BWA v. 0.7.15"
"MN687243.1","Illumina","BWA v. 0.7.15"
"MN687242.1","Ion Torrent","BWA v. 0.7.15"
"MN687241.1","Illumina","BWA v. 0.7.15"
"MN687240.1","Ion Torrent","BWA v. 0.7.15"
"MN687239.1","Illumina","BWA v. 0.7.15"
"MN687238.1","Ion Torrent","BWA v. 0.7.15"
"MN687237.1","Illumina","BWA v. 0.7.15"
"MN687236.1","Illumina","BWA v. 0.7.15"
"MN687235.1","Illumina","BWA v. 0.7.15"
"MN687234.1","Illumina","BWA v. 0.7.15"
"MN687233.1","Illumina","BWA v. 0.7.15"
"MN687232.1","Illumina","BWA v. 0.7.15"
"MN687231.1","Illumina","BWA v. 0.7.15"
"MN687230.1","Ion Torrent","BWA v. 0.7.15"
"MN687229.1","Illumina","BWA v. 0.7.15"
"MN687228.1","Ion Torrent","BWA v. 0.7.15"
"MN687227.1","Illumina","BWA v. 0.7.15"
"MN687226.1","Ion Torrent","BWA v. 0.7.15"
"MN687225.1","Illumina","BWA v. 0.7.15"
"MN687224.1","Ion Torrent","BWA v. 0.7.15"
"MN687223.1","Ion Torrent","BWA v. 0.7.15"
"MN687222.1","Ion Torrent","BWA v. 0.7.15"
"MN687221.1","Ion Torrent","BWA v. 0.7.15"
"MN687220.1","Ion Torrent","BWA v. 0.7.15"
"MN687219.1","Illumina","BWA v. 0.7.15"
"MN687218.1","Ion Torrent","BWA v. 0.7.15"
"MN687217.1","Ion Torrent","BWA v. 0.7.15"
"MN687216.1","Ion Torrent","BWA v. 0.7.15"
"MN687215.1","Illumina","BWA v. 0.7.15"
"MN687214.1","Ion Torrent","BWA v. 0.7.15"
"MN687213.1","Ion Torrent","BWA v. 0.7.15"
"MN687212.1","Illumina","BWA v. 0.7.15"
"MN687211.1","Illumina","BWA v. 0.7.15"
"MN687210.1","Illumina","BWA v. 0.7.15"
"MN687209.1","Ion Torrent","BWA v. 0.7.15"
"MN687208.1","Ion Torrent","BWA v. 0.7.15"
"MN687207.1","Illumina","BWA v. 0.7.15"
"MN687206.1","Illumina","BWA v. 0.7.15"
"MN687205.1","Illumina","BWA v. 0.7.15"
"MN687204.1","Illumina","BWA v. 0.7.15"
"MN687203.1","Illumina","BWA v. 0.7.15"
"MN687202.1","Ion Torrent","BWA v. 0.7.15"
"MN687201.1","Illumina","BWA v. 0.7.15"
"MN687200.1","Ion Torrent","BWA v. 0.7.15"
"MN687199.1","Ion Torrent","BWA v. 0.7.15"
"MN687198.1","Ion Torrent","BWA v. 0.7.15"
"MN687197.1","Ion Torrent","BWA v. 0.7.15"
"MN687196.1","Ion Torrent","BWA v. 0.7.15"
"MN687195.1","Sanger dideoxy sequencing","BWA v. 0.7.15"
"MN687194.1","Ion Torrent","BWA v. 0.7.15"
"MN687193.1","Illumina","BWA v. 0.7.15"
"MN687192.1","Ion Torrent","BWA v. 0.7.15"
"MN687191.1","Ion Torrent","BWA v. 0.7.15"
"MN687190.1","Ion Torrent","BWA v. 0.7.15"
"MN687189.1","Ion Torrent","BWA v. 0.7.15"
"MN687188.1","Illumina","BWA v. 0.7.15"
"MN687187.1","Illumina","BWA v. 0.7.15"
"MN687186.1","Ion Torrent","BWA v. 0.7.15"
"MN687185.1","Ion Torrent","BWA v. 0.7.15"
"MN687184.1","Ion Torrent","BWA v. 0.7.15"
"MN687183.1","Ion Torrent","BWA v. 0.7.15"
"MN687182.1","Ion Torrent","BWA v. 0.7.15"
"MN687181.1","Ion Torrent","BWA v. 0.7.15"
"MN687180.1","Ion Torrent","BWA v. 0.7.15"
"MN687179.1","Ion Torrent","BWA v. 0.7.15"
"MN687178.1","Ion Torrent","BWA v. 0.7.15"
"MN687177.1","Ion Torrent","BWA v. 0.7.15"
"MN687176.1","Ion Torrent","BWA v. 0.7.15"
"MN687175.1","Ion Torrent","BWA v. 0.7.15"
"MN687174.1","Sanger dideoxy sequencing","BWA v. 0.7.15"
"MN687173.1","Ion Torrent","BWA v. 0.7.15"
"MN687172.1","Ion Torrent","BWA v. 0.7.15"
"MN687171.1","Ion Torrent","BWA v. 0.7.15"
"MN687170.1","Ion Torrent","BWA v. 0.7.15"
"MN687169.1","Illumina","BWA v. 0.7.15"
"MN687168.1","Ion Torrent","BWA v. 0.7.15"
"MN687167.1","Ion Torrent","BWA v. 0.7.15"
"MN687166.1","Ion Torrent","BWA v. 0.7.15"
"MN687165.1","Ion Torrent","BWA v. 0.7.15"
"MN687164.1","Ion Torrent","BWA v. 0.7.15"
"MN687163.1","Ion Torrent","BWA v. 0.7.15"
"MN687162.1","Ion Torrent","BWA v. 0.7.15"
"MN687161.1","Sanger dideoxy sequencing","BWA v. 0.7.15"
"MN687160.1","Illumina","BWA v. 0.7.15"
"MN687159.1","Ion Torrent","BWA v. 0.7.15"
"MN687158.1","Ion Torrent","BWA v. 0.7.15"
"MN687157.1","Ion Torrent","BWA v. 0.7.15"
"MN687156.1","Ion Torrent","BWA v. 0.7.15"
"MN687155.1","Ion Torrent","BWA v. 0.7.15"
"MN687154.1","Illumina","BWA v. 0.7.15"
"MN687153.1","Illumina","BWA v. 0.7.15"
"MN687152.1","Ion Torrent","BWA v. 0.7.15"
"MN687151.1","Ion Torrent","BWA v. 0.7.15"
"MN687150.1","Ion Torrent","BWA v. 0.7.15"
"MN687149.1","Illumina","BWA v. 0.7.15"
"MN687148.1","Ion Torrent","BWA v. 0.7.15"
"MN687147.1","Illumina","BWA v. 0.7.15"
"MN687146.1","Ion Torrent","BWA v. 0.7.15"
"MN687145.1","Ion Torrent","BWA v. 0.7.15"
"MN687144.1","Illumina","BWA v. 0.7.15"
"MN687143.1","Illumina","BWA v. 0.7.15"
"MN687142.1","Illumina","BWA v. 0.7.15"
"MN687141.1","Ion Torrent","BWA v. 0.7.15"
"ON983539.1","Illumina","BCFtools v. 1.15"
"ON983538.1","Illumina","BCFtools v. 1.15"
"ON983537.1","Illumina","BCFtools v. 1.15"
"ON983536.1","Illumina","BCFtools v. 1.15"
"ON983535.1","Illumina","BCFtools v. 1.15"
"ON983534.1","Illumina","BCFtools v. 1.15"
"ON983533.1","Illumina","BCFtools v. 1.15"
"ON983532.1","Illumina","BCFtools v. 1.15"
"ON983531.1","Illumina","BCFtools v. 1.15"
"ON983530.1","Illumina","BCFtools v. 1.15"
"ON983529.1","Illumina","BCFtools v. 1.15"
"ON983528.1","Illumina","BCFtools v. 1.15"
"ON983527.1","Illumina","BCFtools v. 1.15"
"ON983526.1","Illumina","BCFtools v. 1.15"
"ON983525.1","Illumina","BCFtools v. 1.15"
"ON983524.1","Illumina","BCFtools v. 1.15"
"ON983523.1","Illumina","BCFtools v. 1.15"
"ON983522.1","Illumina","BCFtools v. 1.15"
"ON983521.1","Illumina","BCFtools v. 1.15"
"ON983520.1","Illumina","BCFtools v. 1.15"
"MN687140.1","Ion Torrent","BWA v. 0.7.15"
"MN687139.1","Ion Torrent","BWA v. 0.7.15"
"MN687138.1","Illumina","BWA v. 0.7.15"
"MN687137.1","Ion Torrent","BWA v. 0.7.15"
"MN687136.1","Illumina","BWA v. 0.7.15"
"MN687135.1","Ion Torrent","BWA v. 0.7.15"
"MN687134.1","Ion Torrent","BWA v. 0.7.15"
"MN687133.1","Ion Torrent","BWA v. 0.7.15"
"MN687132.1","Ion Torrent","BWA v. 0.7.15"
"MN687131.1","Ion Torrent","BWA v. 0.7.15"
"MN687130.1","Illumina","BWA v. 0.7.15"
"MN687129.1","Illumina","BWA v. 0.7.15"
"MN687128.1","Ion Torrent","BWA v. 0.7.15"
"MN687127.1","Sanger dideoxy sequencing","BWA v. 0.7.15"
"MN687126.1","Ion Torrent","BWA v. 0.7.15"
"MN687125.1","Ion Torrent","BWA v. 0.7.15"
"MN687124.1","Ion Torrent","BWA v. 0.7.15"
"MN687123.1","Illumina","BWA v. 0.7.15"
"MN687122.1","Ion Torrent","BWA v. 0.7.15"
"MN687121.1","Ion Torrent","BWA v. 0.7.15"
"MN687120.1","Illumina","BWA v. 0.7.15"
"MN687119.1","Ion Torrent","BWA v. 0.7.15"
"MN687118.1","Ion Torrent","BWA v. 0.7.15"
"MN687117.1","Illumina","BWA v. 0.7.15"
"MN687116.1","Sanger dideoxy sequencing","BWA v. 0.7.15"
"MN687115.1","Ion Torrent","BWA v. 0.7.15"
"MN687114.1","Illumina","BWA v. 0.7.15"
"MN687113.1","Ion Torrent","BWA v. 0.7.15"
"MN687112.1","Illumina","BWA v. 0.7.15"
"MN687111.1","Ion Torrent","BWA v. 0.7.15"
"MN687110.1","Ion Torrent","BWA v. 0.7.15"
"MN687109.1","Sanger dideoxy sequencing","BWA v. 0.7.15"
"MN687108.1","Ion Torrent","BWA v. 0.7.15"
"MN687107.1","Ion Torrent","BWA v. 0.7.15"
"MG660801.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660800.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660799.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660798.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660797.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660796.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660795.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660794.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660793.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660792.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660791.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660790.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660789.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660788.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660787.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660786.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660785.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660784.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660783.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660782.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660781.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660780.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660779.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660778.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660777.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660776.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660775.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660774.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660773.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660772.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660771.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660770.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660769.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660768.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660767.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660766.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660765.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660764.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660763.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660762.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660761.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660760.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660759.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660758.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660757.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660756.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660755.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660754.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660753.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660752.1","Illumina","Unipro UGENE v. v1.26.0"
"MG660751.1","Illumina","Unipro UGENE v. v1.26.0"
"MT547906.1","NA","NA"
"MT577845.1","NA","NA"
"MT648272.1","NA","NA"
"MT551785.1","NA","NA"
"MT677876.1","NA","NA"
"MT537604.1","NA","NA"
"MT623656.1","NA","NA"
"MN610432.1","Illumina","BWA v. v.0.7.8"
"MN610431.1","Illumina","BWA v. v.0.7.8"
"MN610430.1","Illumina","BWA v. v.0.7.8"
"MN610429.1","Illumina","BWA v. v.0.7.8"
"MN610428.1","Illumina","BWA v. v.0.7.8"
"MN610427.1","Illumina","BWA v. v.0.7.8"
"MN610426.1","Illumina","BWA v. v.0.7.8"
"MN610425.1","Illumina","BWA v. v.0.7.8"
"MN610424.1","Illumina","BWA v. v.0.7.8"
"MN610423.1","Illumina","BWA v. v.0.7.8"
"MN610422.1","Illumina","BWA v. v.0.7.8"
"MN610421.1","Illumina","BWA v. v.0.7.8"
"MN610420.1","Illumina","BWA v. v.0.7.8"
"MN610419.1","Illumina","BWA v. v.0.7.8"
"MN610418.1","Illumina","BWA v. v.0.7.8"
"MN610417.1","Illumina","BWA v. v.0.7.8"
"MN610416.1","Illumina","BWA v. v.0.7.8"
"MN610415.1","Illumina","BWA v. v.0.7.8"
"MN610414.1","Illumina","BWA v. v.0.7.8"
"MN610413.1","Illumina","BWA v. v.0.7.8"
"MN610412.1","Illumina","BWA v. v.0.7.8"
"MN610411.1","Illumina","BWA v. v.0.7.8"
"MN610410.1","Illumina","BWA v. v.0.7.8"
"MN610409.1","Illumina","BWA v. v.0.7.8"
"MN610408.1","Illumina","BWA v. v.0.7.8"
"MN610407.1","Illumina","BWA v. v.0.7.8"
"MN610406.1","Illumina","BWA v. v.0.7.8"
"MN610405.1","Illumina","BWA v. v.0.7.8"
"MN610404.1","Illumina","BWA v. v.0.7.8"
"MN610403.1","Illumina","BWA v. v.0.7.8"
"MN610402.1","Illumina","BWA v. v.0.7.8"
"MN610401.1","Illumina","BWA v. v.0.7.8"
"MN610400.1","Illumina","BWA v. v.0.7.8"
"MN610399.1","Illumina","BWA v. v.0.7.8"
"MN610398.1","Illumina","BWA v. v.0.7.8"
"MN610397.1","Illumina","BWA v. v.0.7.8"
"MN610396.1","Illumina","BWA v. v.0.7.8"
"MN610395.1","Illumina","BWA v. v.0.7.8"
"MN610394.1","Illumina","BWA v. v.0.7.8"
"MN610393.1","Illumina","BWA v. v.0.7.8"
"MN849868.1","Illumina","MAFFT v. 7"
"MN849867.1","Illumina","MAFFT v. 7"
"MN849866.1","Illumina","MAFFT v. 7"
"MN849865.1","Illumina","MAFFT v. 7"
"MN849864.1","Illumina","MAFFT v. 7"
"MN849863.1","Illumina","MAFFT v. 7"
"MN849862.1","Illumina","MAFFT v. 7"
"MN849861.1","Illumina","MAFFT v. 7"
"MN849860.1","Illumina","MAFFT v. 7"
"MN849859.1","Illumina","MAFFT v. 7"
"MN849858.1","Illumina","MAFFT v. 7"
"MN849857.1","Illumina","MAFFT v. 7"
"MN849856.1","Illumina","MAFFT v. 7"
"MN849855.1","Illumina","MAFFT v. 7"
"MN849854.1","Illumina","MAFFT v. 7"
"MN849853.1","Illumina","MAFFT v. 7"
"MN849852.1","Illumina","MAFFT v. 7"
"MN849851.1","Illumina","MAFFT v. 7"
"MN849850.1","Illumina","MAFFT v. 7"
"MN849849.1","Illumina","MAFFT v. 7"
"MN849848.1","Illumina","MAFFT v. 7"
"MN849847.1","Illumina","MAFFT v. 7"
"MN849846.1","Illumina","MAFFT v. 7"
"MN849845.1","Illumina","MAFFT v. 7"
"MN849844.1","Illumina","MAFFT v. 7"
"MN849843.1","Illumina","MAFFT v. 7"
"MN849842.1","Illumina","MAFFT v. 7"
"MN849841.1","Illumina","MAFFT v. 7"
"MN849840.1","Illumina","MAFFT v. 7"
"MN849839.1","Illumina","MAFFT v. 7"
"MN849838.1","Illumina","MAFFT v. 7"
"MN849837.1","Illumina","MAFFT v. 7"
"MN849836.1","Illumina","MAFFT v. 7"
"MN849835.1","Illumina","MAFFT v. 7"
"MN849834.1","Illumina","MAFFT v. 7"
"MN849833.1","Illumina","MAFFT v. 7"
"MN849832.1","Illumina","MAFFT v. 7"
"MN849831.1","Illumina","MAFFT v. 7"
"MN849830.1","Illumina","MAFFT v. 7"
"MN849829.1","Illumina","MAFFT v. 7"
"MN849828.1","Illumina","MAFFT v. 7"
"MN849827.1","Illumina","MAFFT v. 7"
"MN849826.1","Illumina","MAFFT v. 7"
"MN849825.1","Illumina","MAFFT v. 7"
"MN849824.1","Illumina","MAFFT v. 7"
"MN849823.1","Illumina","MAFFT v. 7"
"MN849822.1","Illumina","MAFFT v. 7"
"MN849821.1","Illumina","MAFFT v. 7"
"MN849820.1","Illumina","MAFFT v. 7"
"MN849819.1","Illumina","MAFFT v. 7"
"MN849818.1","Illumina","MAFFT v. 7"
"MN849817.1","Illumina","MAFFT v. 7"
"MN849816.1","Illumina","MAFFT v. 7"
"MN849815.1","Illumina","MAFFT v. 7"
"MN849814.1","Illumina","MAFFT v. 7"
"MN849813.1","Illumina","MAFFT v. 7"
"MN849812.1","Illumina","MAFFT v. 7"
"MN849811.1","Illumina","MAFFT v. 7"
"MN849810.1","Illumina","MAFFT v. 7"
"MN849809.1","Illumina","MAFFT v. 7"
"MN849808.1","Illumina","MAFFT v. 7"
"MN849807.1","Illumina","MAFFT v. 7"
"MN849806.1","Illumina","MAFFT v. 7"
"MN849805.1","Illumina","MAFFT v. 7"
"MN849804.1","Illumina","MAFFT v. 7"
"MN849803.1","Illumina","MAFFT v. 7"
"MN849802.1","Illumina","MAFFT v. 7"
"MN849801.1","Illumina","MAFFT v. 7"
"ON983519.1","Illumina","BCFtools v. 1.15"
"ON983518.1","Illumina","BCFtools v. 1.15"
"ON983517.1","Illumina","BCFtools v. 1.15"
"ON983516.1","Illumina","BCFtools v. 1.15"
"ON983515.1","Illumina","BCFtools v. 1.15"
"ON983514.1","Illumina","BCFtools v. 1.15"
"ON983513.1","Illumina","BCFtools v. 1.15"
"ON983512.1","Illumina","BCFtools v. 1.15"
"ON983511.1","Illumina","BCFtools v. 1.15"
"ON983510.1","Illumina","BCFtools v. 1.15"
"ON983509.1","Illumina","BCFtools v. 1.15"
"ON983508.1","Illumina","BCFtools v. 1.15"
"ON983507.1","Illumina","BCFtools v. 1.15"
"ON983506.1","Illumina","BCFtools v. 1.15"
"ON983505.1","Illumina","BCFtools v. 1.15"
"ON983504.1","Illumina","BCFtools v. 1.15"
"ON983503.1","Illumina","BCFtools v. 1.15"
"ON983502.1","Illumina","BCFtools v. 1.15"
"ON983501.1","Illumina","BCFtools v. 1.15"
"ON983500.1","Illumina","BCFtools v. 1.15"
"MN849800.1","Illumina","MAFFT v. 7"
"MN849799.1","Illumina","MAFFT v. 7"
"MN849798.1","Illumina","MAFFT v. 7"
"MN849797.1","Illumina","MAFFT v. 7"
"MN849796.1","Illumina","MAFFT v. 7"
"MN849795.1","Illumina","MAFFT v. 7"
"MN849794.1","Illumina","MAFFT v. 7"
"MN849793.1","Illumina","MAFFT v. 7"
"MN849792.1","Illumina","MAFFT v. 7"
"MN849791.1","Illumina","MAFFT v. 7"
"MN849790.1","Illumina","MAFFT v. 7"
"MN849789.1","Illumina","MAFFT v. 7"
"MN849788.1","Illumina","MAFFT v. 7"
"MN849787.1","Illumina","MAFFT v. 7"
"MN849786.1","Illumina","MAFFT v. 7"
"MN849785.1","Illumina","MAFFT v. 7"
"MN849784.1","Illumina","MAFFT v. 7"
"MN849783.1","Illumina","MAFFT v. 7"
"MN849782.1","Illumina","MAFFT v. 7"
"MN849781.1","Illumina","MAFFT v. 7"
"MN849780.1","Illumina","MAFFT v. 7"
"MN849779.1","Illumina","MAFFT v. 7"
"MN849778.1","Illumina","MAFFT v. 7"
"MN849777.1","Illumina","MAFFT v. 7"
"MN849776.1","Illumina","MAFFT v. 7"
"MN849775.1","Illumina","MAFFT v. 7"
"MN849774.1","Illumina","MAFFT v. 7"
"MN849773.1","Illumina","MAFFT v. 7"
"MN849772.1","Illumina","MAFFT v. 7"
"MN849771.1","Illumina","MAFFT v. 7"
"MN849770.1","Illumina","MAFFT v. 7"
"MN849769.1","Illumina","MAFFT v. 7"
"MN849768.1","Illumina","MAFFT v. 7"
"MN849767.1","Illumina","MAFFT v. 7"
"MN849766.1","Illumina","MAFFT v. 7"
"MN849765.1","Illumina","MAFFT v. 7"
"MN849764.1","Illumina","MAFFT v. 7"
"MN849763.1","Illumina","MAFFT v. 7"
"MN849762.1","Illumina","MAFFT v. 7"
"MN849761.1","Illumina","MAFFT v. 7"
"MN849760.1","Illumina","MAFFT v. 7"
"MN849759.1","Illumina","MAFFT v. 7"
"MN849758.1","Illumina","MAFFT v. 7"
"MN849757.1","Illumina","MAFFT v. 7"
"MN849756.1","Illumina","MAFFT v. 7"
"MN849755.1","Illumina","MAFFT v. 7"
"MN849754.1","Illumina","MAFFT v. 7"
"MN849753.1","Illumina","MAFFT v. 7"
"MN849752.1","Illumina","MAFFT v. 7"
"MN849751.1","Illumina","MAFFT v. 7"
"MN849750.1","Illumina","MAFFT v. 7"
"MN849749.1","Illumina","MAFFT v. 7"
"MN849748.1","Illumina","MAFFT v. 7"
"MN849747.1","Illumina","MAFFT v. 7"
"MN849746.1","Illumina","MAFFT v. 7"
"MN849745.1","Illumina","MAFFT v. 7"
"MN849744.1","Illumina","MAFFT v. 7"
"MN849743.1","Illumina","MAFFT v. 7"
"MN849742.1","Illumina","MAFFT v. 7"
"MN849741.1","Illumina","MAFFT v. 7"
"MN849740.1","Illumina","MAFFT v. 7"
"MN849739.1","Illumina","MAFFT v. 7"
"MN849738.1","Illumina","MAFFT v. 7"
"MN849737.1","Illumina","MAFFT v. 7"
"MN849736.1","Illumina","MAFFT v. 7"
"MN849735.1","Illumina","MAFFT v. 7"
"MN849734.1","Illumina","MAFFT v. 7"
"MN849733.1","Illumina","MAFFT v. 7"
"MN849732.1","Illumina","MAFFT v. 7"
"MN849731.1","Illumina","MAFFT v. 7"
"MN849730.1","Illumina","MAFFT v. 7"
"MN849729.1","Illumina","MAFFT v. 7"
"MN849728.1","Illumina","MAFFT v. 7"
"MN849727.1","Illumina","MAFFT v. 7"
"MN849726.1","Illumina","MAFFT v. 7"
"MN849725.1","Illumina","MAFFT v. 7"
"MN849724.1","Illumina","MAFFT v. 7"
"MN849723.1","Illumina","MAFFT v. 7"
"MN849722.1","Illumina","MAFFT v. 7"
"MN849721.1","Illumina","MAFFT v. 7"
"MN849720.1","Illumina","MAFFT v. 7"
"MN849719.1","Illumina","MAFFT v. 7"
"MN849718.1","Illumina","MAFFT v. 7"
"MN849717.1","Illumina","MAFFT v. 7"
"MN849716.1","Illumina","MAFFT v. 7"
"MN849715.1","Illumina","MAFFT v. 7"
"MN849714.1","Illumina","MAFFT v. 7"
"MN849713.1","Illumina","MAFFT v. 7"
"MN849712.1","Illumina","MAFFT v. 7"
"MN849711.1","Illumina","MAFFT v. 7"
"MN849710.1","Illumina","MAFFT v. 7"
"MN849709.1","Illumina","MAFFT v. 7"
"MN849708.1","Illumina","MAFFT v. 7"
"MN849707.1","Illumina","MAFFT v. 7"
"MN849706.1","Illumina","MAFFT v. 7"
"MN849705.1","Illumina","MAFFT v. 7"
"MN849704.1","Illumina","MAFFT v. 7"
"MN849703.1","Illumina","MAFFT v. 7"
"MN849702.1","Illumina","MAFFT v. 7"
"MN849701.1","Illumina","MAFFT v. 7"
"MN849700.1","Illumina","MAFFT v. 7"
"MN849699.1","Illumina","MAFFT v. 7"
"MN849698.1","Illumina","MAFFT v. 7"
"MN849697.1","Illumina","MAFFT v. 7"
"MN849696.1","Illumina","MAFFT v. 7"
"MN849695.1","Illumina","MAFFT v. 7"
"MN849694.1","Illumina","MAFFT v. 7"
"MN849693.1","Illumina","MAFFT v. 7"
"MN849692.1","Illumina","MAFFT v. 7"
"MN849691.1","Illumina","MAFFT v. 7"
"MN849690.1","Illumina","MAFFT v. 7"
"MN849689.1","Illumina","MAFFT v. 7"
"MN849688.1","Illumina","MAFFT v. 7"
"MN849687.1","Illumina","MAFFT v. 7"
"MN849686.1","Illumina","MAFFT v. 7"
"MN849685.1","Illumina","MAFFT v. 7"
"MN849684.1","Illumina","MAFFT v. 7"
"MN849683.1","Illumina","MAFFT v. 7"
"MN849682.1","Illumina","MAFFT v. 7"
"MN849681.1","Illumina","MAFFT v. 7"
"MN849680.1","Illumina","MAFFT v. 7"
"MN849679.1","Illumina","MAFFT v. 7"
"MN849677.1","Illumina","MAFFT v. 7"
"MN849675.1","Illumina","MAFFT v. 7"
"MN849674.1","Illumina","MAFFT v. 7"
"MN849672.1","Illumina","MAFFT v. 7"
"MN849670.1","Illumina","MAFFT v. 7"
"MN849669.1","Illumina","MAFFT v. 7"
"MN849668.1","Illumina","MAFFT v. 7"
"MN849667.1","Illumina","MAFFT v. 7"
"MN849666.1","Illumina","MAFFT v. 7"
"MN849665.1","Illumina","MAFFT v. 7"
"MN849664.1","Illumina","MAFFT v. 7"
"MN849663.1","Illumina","MAFFT v. 7"
"MN849662.1","Illumina","MAFFT v. 7"
"MN849661.1","Illumina","MAFFT v. 7"
"MN849660.1","Illumina","MAFFT v. 7"
"MN849659.1","Illumina","MAFFT v. 7"
"MN849658.1","Illumina","MAFFT v. 7"
"MN849657.1","Illumina","MAFFT v. 7"
"MN849656.1","Illumina","MAFFT v. 7"
"MN849655.1","Illumina","MAFFT v. 7"
"MN849654.1","Illumina","MAFFT v. 7"
"MN849652.1","Illumina","MAFFT v. 7"
"MN849651.1","Illumina","MAFFT v. 7"
"MN849650.1","Illumina","MAFFT v. 7"
"MN849649.1","Illumina","MAFFT v. 7"
"MN849648.1","Illumina","MAFFT v. 7"
"MN849647.1","Illumina","MAFFT v. 7"
"MN849646.1","Illumina","MAFFT v. 7"
"MN849645.1","Illumina","MAFFT v. 7"
"MN849644.1","Illumina","MAFFT v. 7"
"MN849643.1","Illumina","MAFFT v. 7"
"MN849642.1","Illumina","MAFFT v. 7"
"MN849641.1","Illumina","MAFFT v. 7"
"MN849639.1","Illumina","MAFFT v. 7"
"MN849638.1","Illumina","MAFFT v. 7"
"MN849637.1","Illumina","MAFFT v. 7"
"MN849636.1","Illumina","MAFFT v. 7"
"MN849635.1","Illumina","MAFFT v. 7"
"MN849634.1","Illumina","MAFFT v. 7"
"MN849633.1","Illumina","MAFFT v. 7"
"MN849631.1","Illumina","MAFFT v. 7"
"MN849629.1","Illumina","MAFFT v. 7"
"MN849627.1","Illumina","MAFFT v. 7"
"MN849626.1","Illumina","MAFFT v. 7"
"MN849625.1","Illumina","MAFFT v. 7"
"MN849624.1","Illumina","MAFFT v. 7"
"MN849623.1","Illumina","MAFFT v. 7"
"MN849622.1","Illumina","MAFFT v. 7"
"MN849621.1","Illumina","MAFFT v. 7"
